Emotions,Path,Source,MFCC_Image_Path,MFCC_Image_Path_10db_AWGN,MFCC_Image_Path_20db_AWGN
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.png
happy,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.png
happy,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.png
happy,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.png
